dataset,source,format,split,label,count
artifacts/datasets/gold-v1-source-aware.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,crisis_ideas_emancipadoras,6
artifacts/datasets/gold-v1-source-aware.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,liderazgos_diplomacia_proyectos,22
artifacts/datasets/gold-v1-source-aware.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,no_relevante,17
artifacts/datasets/gold-v1-source-aware.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,organizacion_consecuencias_republicanas,12
artifacts/datasets/gold-v1-source-aware.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,participacion_social_regional,2
artifacts/datasets/gold-v1-source-aware.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,campanias_conflictos_militares,1
artifacts/datasets/gold-v1-source-aware.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,contexto_colonial_antecedentes,0
artifacts/datasets/gold-v1-source-aware.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,crisis_ideas_emancipadoras,19
artifacts/datasets/gold-v1-source-aware.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,liderazgos_diplomacia_proyectos,15
artifacts/datasets/gold-v1-source-aware.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,no_relevante,28
artifacts/datasets/gold-v1-source-aware.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,organizacion_consecuencias_republicanas,6
artifacts/datasets/gold-v1-source-aware.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,participacion_social_regional,3
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,campanias_conflictos_militares,71
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,contexto_colonial_antecedentes,52
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,crisis_ideas_emancipadoras,6
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,liderazgos_diplomacia_proyectos,42
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,no_relevante,13
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,organizacion_consecuencias_republicanas,59
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,participacion_social_regional,1
artifacts/datasets/gold-v1-source-aware.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,campanias_conflictos_militares,0
artifacts/datasets/gold-v1-source-aware.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,contexto_colonial_antecedentes,0
