dataset,source,format,split,label,count,work,author,identity_evidence,identity_status
outputs/corpus-snapshot-v4/reviewed-export.json,08fa49e1-abac-5645-a35e-2d7ec4a8f05d,pdf,train,crisis_ideas_emancipadoras,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,08fa49e1-abac-5645-a35e-2d7ec4a8f05d,pdf,train,liderazgos_diplomacia_proyectos,6,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,08fa49e1-abac-5645-a35e-2d7ec4a8f05d,pdf,train,no_relevante,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,08fa49e1-abac-5645-a35e-2d7ec4a8f05d,pdf,train,organizacion_consecuencias_republicanas,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,08fa49e1-abac-5645-a35e-2d7ec4a8f05d,pdf,train,participacion_social_regional,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,campanias_conflictos_militares,1,El mito de la independencia concedida,Scarlett O Phelan Godoy,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
outputs/corpus-snapshot-v4/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,contexto_colonial_antecedentes,6,El mito de la independencia concedida,Scarlett O Phelan Godoy,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
outputs/corpus-snapshot-v4/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,crisis_ideas_emancipadoras,25,El mito de la independencia concedida,Scarlett O Phelan Godoy,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
outputs/corpus-snapshot-v4/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,liderazgos_diplomacia_proyectos,21,El mito de la independencia concedida,Scarlett O Phelan Godoy,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
outputs/corpus-snapshot-v4/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,no_relevante,28,El mito de la independencia concedida,Scarlett O Phelan Godoy,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
outputs/corpus-snapshot-v4/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,organizacion_consecuencias_republicanas,1,El mito de la independencia concedida,Scarlett O Phelan Godoy,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
outputs/corpus-snapshot-v4/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,participacion_social_regional,18,El mito de la independencia concedida,Scarlett O Phelan Godoy,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
